name|price|description|category|rating|source
CANON PGI-580/CLI-581 (Gelb, Schwarz, Magenta, Cyan, Blau, Multipack)|61.95|Original Verbrauchsmaterialien Original Canon Verbrauchsmaterialien sind einfach besser – sie sorgen dafür, dass dein Canon Drucker immer beste Ergebnisse liefert und bieten dabei ein gutes Preis-Leistungsverhältnis.|Computer & Gaming||interdiscount
CANON PG-560XL/CL-561XL (Gelb, Schwarz, Cyan, Magenta, Duopack)|52.55|Das Vorteilspack beinhaltet 1 x 12,2 ml FinE Druckkopf mit Tinte in Schwarz, 1 x 14,3 ml FinE Druckkopf mit Tinte in Cyan, Magenta und Gelb sowie eine Packung Fotopapier für Dokumenten- und Fotodrucke in lebendigen Farben. Die Schwarztinte druckt bis zu 400 A4-Dokumentenseiten¹ und die Farbtinte bis zu 300 A4-Dokumentenseiten¹ mit der Qualität und Zuverlässigkeit von original Canon Tinte.|Computer & Gaming||interdiscount
CANON PIXMA TS7650i (Tintendrucker, Farbe, WLAN)|79.95|Druckertyp: Farbig, Drucktechnik: Tintenstrahl (Kartuschen), Total Fassungsvermögen Papierzuführungen: 200 Seiten, Mobildruck: Ja, Anzahl Papierzuführungen (maximal): 2, Druckgeschwindigkeit (farbig): 10 ppm|Computer & Gaming||interdiscount
CANON PG-545XL x2/CL-546XL (Gelb, Schwarz, Magenta, Cyan, Multipack)|63.95|Original Verbrauchsmaterialien Original Canon Verbrauchsmaterialien sind einfach besser – sie sorgen dafür, dass dein Canon Drucker immer beste Ergebnisse liefert und bieten dabei ein gutes Preis-Leistungsverhältnis.|Computer & Gaming||interdiscount
CANON PGI-35BK (Schwarz, 1 Stück)|14.95|Diese schwarze Pigmenttinte wird zum Druck von Dokumenten auf Normalpapier verwendet und sorgt für ein gestochen scharfes Schriftbild mit hoher Farbstabilität. Mit dem 9,3 ml fassenden Tintentank können bis zu 191 Seiten im A4-Format gedruckt werden.|Computer & Gaming||interdiscount
CANON PG-560XL (Schwarz, 1 Stück)|31.95|Die Tintenpatrone CANON PG-560XL ist beste Druckqualität garantiert. Mit dieser Tinte drucken sie jegliches Dokument gestochen scharf, Verträge, Arbeitsunterlagen und Dissertationen sind mit diesem Produkt kein Problem, absolut farbecht und wischfest.Wie der Namenszusatz XL schon vermuten lässt, hat die Kartusche mit 14,3 ml Inhalt eine besonders große Seitenreichweite von bis zu 400 DIN A4 Seiten auf Papier. Die CANON PG-560XL ist nicht nur in Schwarz zu erhalten, sondern ist auch im Kombipack mit den Farben Gelb, Cyan und Magenta verfügbar, damit drucken sie auch Fotos in perfekter Qualität, wie man es von CANON gewohnt ist. Kompatibel ist die Kartusche mit fast allen Druckern der PIXMA Serie.|Computer & Gaming||interdiscount
CANON Selphy RP-108 (Mehrfarbig, 1 Stück)|39.95|Das CANON Fotopapier (108 Stück, 100 x 148 mm) wird sich in Zukunft als Ihr bevorzugtes Fotopapier herausstellen. Nutzen Sie das Papier für alle Fotodrucke, ob Schwarz-Weiss oder in Farbe.Das CANON Fotopapier (108 Stück, 100 x 148 mm) ist die perfekte Wahl für Ihre Aufnahmen. Das Fotopapier ist mit allen CANON Druckern ab dem CP820 kompatibel. Mit dem Papier drucken Sie in einer besonders professionellen Qualität und das direkt von Zuhause aus. Alle Farben werden mit intensiven und kräftigen Farben und mit einer gestochen scharfen Auflösung dargestellt. Die Papiergrösse ist bereits auf Ihre Bilder abgestimmt.|Computer & Gaming||interdiscount
CANON PGI-580 XXL (Schwarz, 1 Stück)|34.95|Die CANON PGI-580 XXL hat den Zusatz „XXL“ aus dem Grund, dass Sie mehr für Ihr Geld bekommen.Die bewährte Canonqualität bietet Ihnen sowohl Ausdruckskraft als auch Langlebigkeit auf den gelieferten Drucken. Dadurch können selbst kleinste Details, wie Schattierungen auf den Dokumenten präzise dargestellt und erkannt werden. Mit der Die CANON PGI-580 XXL ist es sogar möglich, dass Sie Fotos oder wichtige Einladungen in professioneller Qualität ausdrucken und das mit einem beeindruckendem Farbergebnis. Und dank der Langlebigkeit der Farbe können Sie Ihre Ausdrucke auch über lange Zeit hinweg ohne Verluste geniessen.|Computer & Gaming||interdiscount
CANON PG-540/CL-541 (Gelb, Schwarz, Magenta, Cyan, Duopack)|51.95|Original Verbrauchsmaterialien Original Canon Verbrauchsmaterialien sind einfach besser – sie sorgen dafür, dass dein Canon Drucker immer beste Ergebnisse liefert und bieten dabei ein gutes Preis-Leistungsverhältnis.|Computer & Gaming||interdiscount
CANON PIXMA TR7650 (Tintendrucker, Farbe, Bluetooth)|169.95|Drucken, kopieren, scannen und faxen mit einem einzigen kompakten Tintenstrahl-Multifunktionssystem. Ideal für kleine Büros und das Homeoffice - der Canon PIXMA TR7650 bietet mit WLAN-Konnektivität und kabellosem Direktdruck von Mobilgeräten eine enorme Flexibilität. Über die Cloud drucken und scannen: direkt vom Drucksystem aus oder mit dem Cloud Link der Canon PRINT App - ganz ohne PC. Das System mit 5 separaten Tintenpatronen liefert lebendig wirkende, randlose und gestochen scharfe Fotos mit tollen Farben bis zum Format A4 sowie gut lesbare Dokumente. Der 20- Blatt-ADF und der vordere und hintere Papiereinzug sorgen dabei für eine hohe Produktivität. Print, Copy, Scan, Fax, A4 Duplex, ADF (20 Blatt), 7,5cm Touchscreen, USB, WLAN|Computer & Gaming||interdiscount
